# Récapitulatif des prévisions Prophet
product_name,total_predictions,first_date,first_yhat,last_date,last_yhat
Aloe Berry Nectar,336,2024-01-01,3.7272899508456327,2025-01-29,4.343442677632843
Aloe Vera Gelly,392,2024-01-01,4.74848233954051,2025-01-30,5.954933254120528
Forever Active Pro-B,306,2024-01-01,3.969225059863216,2025-01-30,4.382264462164046
Forever Aloe Lips,340,2024-01-01,4.433713591240175,2025-01-30,4.361584436543744
Forever Aloe Vera Gel,361,2024-01-01,4.798420928083637,2025-01-30,4.550008345163664
Forever Arctic Sea,322,2024-01-01,4.666913715045905,2025-01-30,5.4387496465124485
Forever Argi+,279,2024-01-01,5.073407156010852,2025-01-30,4.968024440578484
Forever Bee Honey,274,2024-01-01,4.082192997699143,2025-01-30,3.989936655495116
Forever Bright Toothgel,331,2024-01-01,3.132893672630668,2025-01-30,2.9140364672510777
Forever Clean9,302,2024-01-01,5.386955968279088,2025-01-29,6.98060357262396
Forever Freedom,341,2024-01-01,4.184486267567381,2025-01-30,4.368733200439952
Forever Therm,378,2024-01-01,6.347317601112279,2025-01-30,6.704011214722316
